Area,Item,Element,Unit,Amount
Afghanistan,Food Transport,Emissions (CO2eq) from CH4 (AR5),kilotonnes,3.7442
Afghanistan,Food Transport,Emissions (CO2eq) from N2O (AR5),kilotonnes,1.5755
Afghanistan,Food Transport,Emissions (CO2eq) (AR5),kilotonnes,272.7996
Afghanistan,Energy,Emissions (CH4),kilotonnes,41.6
Afghanistan,Energy,Emissions (N2O),kilotonnes,0.315
Afghanistan,Energy,Emissions (CO2),kilotonnes,9100
Afghanistan,Energy,Emissions (CO2eq) from CH4 (AR5),kilotonnes,1164.8
Afghanistan,Energy,Emissions (CO2eq) from N2O (AR5),kilotonnes,83.475
Afghanistan,Energy,Emissions (CO2eq) (AR5),kilotonnes,10348.275
Afghanistan,IPPU,Emissions (N2O),kilotonnes,0.0115
Afghanistan,IPPU,Emissions (CO2),kilotonnes,338
Afghanistan,IPPU,Emissions (CO2eq) from N2O (AR5),kilotonnes,3.0475
Afghanistan,IPPU,Emissions (CO2eq) (AR5),kilotonnes,341.0475
Afghanistan,Waste,Emissions (CH4),kilotonnes,194
Afghanistan,Waste,Emissions (N2O),kilotonnes,1.07
Afghanistan,Waste,Emissions (CO2eq) from CH4 (AR5),kilotonnes,5432
Afghanistan,Waste,Emissions (CO2eq) from N2O (AR5),kilotonnes,283.55
Afghanistan,Waste,Emissions (CO2eq) (AR5),kilotonnes,5715.55
Afghanistan,Other,Emissions (N2O),kilotonnes,0.352
Afghanistan,Other,Emissions (CO2eq) from N2O (AR5),kilotonnes,93.28
Afghanistan,Other,Emissions (CO2eq) (AR5),kilotonnes,93.28
Afghanistan,Farm-gate emissions,Emissions (CH4),kilotonnes,427.2301
Afghanistan,Farm-gate emissions,Direct emissions (N2O),kilotonnes,10.8548
Afghanistan,Farm-gate emissions,Indirect emissions (N2O),kilotonnes,3.6191
Afghanistan,Farm-gate emissions,Emissions (N2O),kilotonnes,15.0227
Afghanistan,Farm-gate emissions,Emissions (CO2),kilotonnes,117.0798
Afghanistan,Farm-gate emissions,Emissions (CO2eq) from CH4 (AR5),kilotonnes,11962.4438
Afghanistan,Farm-gate emissions,Emissions (CO2eq) from N2O (AR5),kilotonnes,3981.0285
Afghanistan,Farm-gate emissions,Emissions (CO2eq) (AR5),kilotonnes,16060.5521
Afghanistan,Land Use change,Emissions (CH4),kilotonnes,0
Afghanistan,Land Use change,Emissions (N2O),kilotonnes,0
Afghanistan,Land Use change,Emissions (CO2),kilotonnes,0
Afghanistan,Land Use change,Emissions (CO2eq) from CH4 (AR5),kilotonnes,0
Afghanistan,Land Use change,Emissions (CO2eq) from N2O (AR5),kilotonnes,0
Afghanistan,Land Use change,Emissions (CO2eq) (AR5),kilotonnes,0
Afghanistan,Emissions on agricultural land,Emissions (CH4),kilotonnes,427.2301
Afghanistan,Emissions on agricultural land,Emissions (N2O),kilotonnes,15.0227
Afghanistan,Emissions on agricultural land,Emissions (CO2),kilotonnes,117.0798
Afghanistan,Emissions on agricultural land,Emissions (CO2eq) from CH4 (AR5),kilotonnes,11962.4438
Afghanistan,Emissions on agricultural land,Emissions (CO2eq) from N2O (AR5),kilotonnes,3981.0285
Afghanistan,Emissions on agricultural land,Emissions (CO2eq) (AR5),kilotonnes,16060.5521
Afghanistan,Pre- and post- production,Emissions (CH4),kilotonnes,122.3977
